idsensore,nometiposensore,unitamisura,idstazione,nomestazione,quota,provincia,comune,storico,datastart,utm_nord,utm_est,lat,lng,location,:@computed_region_6hky_swhk,:@computed_region_ttgh_9sm5,:@computed_region_af5v_nc64,datastop
10548,PM10 (SM2005),µg/m³,1269,Dalmine v.Verdi,207,BG,Dalmine,N,2010-02-26T00:00:00.000,5055304,546847,45.64971000,9.60123469,"{'type': 'Point', 'coordinates': [9.60123469, 45.64971]}",5,5,1,
10016,Biossido di Zolfo,µg/m³,664,Mantova p.zza Gramsci,18,MN,Mantova,N,2006-10-30T00:00:00.000,5001351,640031,45.15175186,10.78141717,"{'type': 'Point', 'coordinates': [10.78141717, 45.15175186]}",9,9,4,
10438,Particelle sospese PM2.5,µg/m³,1264,Sondrio v.Paribelli,290,SO,Sondrio,N,2008-11-11T00:00:00.000,5113073,567873,46.16785664,9.87921169,"{'type': 'Point', 'coordinates': [9.87921169, 46.16785664]}",3,3,7,
10463,Ozono,µg/m³,1266,Bertonico v.Moro,65,LO,Bertonico,N,2009-08-03T00:00:00.000,5009105,552297,45.23349689,9.66625758,"{'type': 'Point', 'coordinates': [9.66625758, 45.23349689]}",11,11,8,
5704,Biossido di Zolfo,µg/m³,569,Sondrio v.Mazzini,307,SO,Sondrio,N,1993-11-01T00:00:00.000,5113078,567173,46.16797103,9.87014581,"{'type': 'Point', 'coordinates': [9.87014581, 46.16797103]}",3,3,7,
6402,Ossidi di Azoto,µg/m³,552,Varese v.Vidoletti,425,VA,Varese,N,1991-12-23T00:00:00.000,5075945,484773,45.83690156,8.80393486,"{'type': 'Point', 'coordinates': [8.80393486, 45.83690156]}",1,1,3,
5953,Biossido di Azoto,µg/m³,627,Cremona P.zza Cadorna,39,CR,Cremona,N,1997-12-12T00:00:00.000,4998110,579872,45.13195042,10.01574064,"{'type': 'Point', 'coordinates': [10.01574064, 45.13195042]}",8,8,4,
5547,Biossido di Azoto,µg/m³,544,Cormano v. Edison,153,MI,Cormano,N,1994-10-24T00:00:00.000,5044180,512693,45.54759700,9.16698300,"{'type': 'Point', 'coordinates': [9.166983, 45.547597]}",4,4,8,
20216,Biossido di Zolfo,µg/m³,690,Mezzana Bigli loc. Casoni,73,PV,Mezzana Bigli,N,2006-01-20T00:00:00.000,4990697,489679,45.06966728,8.86890217,"{'type': 'Point', 'coordinates': [8.86890217, 45.06966728]}",7,7,6,
20753,PM10 (SM2005),µg/m³,1322,DarfoBT,221,BS,Darfo Boario Terme,N,2024-02-28T00:00:00.000,5080975,591483,45.87626097,10.17883506,"{'type': 'Point', 'coordinates': [10.17883506, 45.87626097]}",6,6,7,
5630,Biossido di Zolfo,µg/m³,531,Pioltello Limito,114,MI,Pioltello,N,1989-05-07T00:00:00.000,5036730,525583,45.48363242,9.32736196,"{'type': 'Point', 'coordinates': [9.32736196, 45.48363242]}",4,4,8,
12693,Piombo,ng/m³,560,Varese v.Copelli,383,VA,Varese,N,2008-04-01T00:00:00.000,5073728,486035,45.81697450,8.82024911,"{'type': 'Point', 'coordinates': [8.82024911, 45.8169745]}",1,1,3,
6884,Ozono,µg/m³,665,Viadana v. Cavalli,37,MN,Viadana,N,2003-10-01T00:00:00.000,4975705,619759,44.92469933,10.51750417,"{'type': 'Point', 'coordinates': [10.51750417, 44.92469933]}",9,9,4,
10399,Particelle sospese PM2.5,µg/m³,583,Bergamo v.Meucci,249,BG,Bergamo,N,2008-12-20T00:00:00.000,5059922,550116,45.69104400,9.64366225,"{'type': 'Point', 'coordinates': [9.64366225, 45.691044]}",5,5,1,
20565,PM10 (SM2005),µg/m³,584,Bergamo v.Garibaldi,249,BG,Bergamo,N,2008-12-19T00:00:00.000,5060449,551482,45.69568669,9.66126061,"{'type': 'Point', 'coordinates': [9.66126061, 45.69568669]}",5,5,1,
10085,Particelle sospese PM2.5,µg/m³,695,Ponti sul Mincio v.San Martino,113,MN,Ponti sul Mincio,N,2007-01-12T00:00:00.000,5030184,631718,45.41277633,10.68336214,"{'type': 'Point', 'coordinates': [10.68336214, 45.41277633]}",9,9,4,
5665,Biossido di Zolfo,µg/m³,595,Filago v.Don Milani,190,BG,Filago,N,1991-12-07T00:00:00.000,5053519,543342,45.63387247,9.55609572,"{'type': 'Point', 'coordinates': [9.55609572, 45.63387247]}",5,5,1,
10280,Biossido di Zolfo,µg/m³,705,Milano Pascal Città Studi,122,MI,Milano,N,2007-06-16T00:00:00.000,5036190,518405,45.47834700,9.23166700,"{'type': 'Point', 'coordinates': [9.231667, 45.478347]}",4,4,8,
5750,Ozono,µg/m³,552,Varese v.Vidoletti,425,VA,Varese,N,1991-12-23T00:00:00.000,5075945,484773,45.83690156,8.80393486,"{'type': 'Point', 'coordinates': [8.80393486, 45.83690156]}",1,1,3,
5718,Ozono,µg/m³,546,Magenta v. F. Turati,137,MI,Magenta,S,1995-07-29T00:00:00.000,5034328,490635,45.46242074,8.88021388,"{'type': 'Point', 'coordinates': [8.88021388, 45.46242074]}",4,4,8,
9928,Biossido di Azoto,µg/m³,677,Cremona Via Fatebenefratelli,43,CR,Cremona,N,2006-04-11T00:00:00.000,4999315,582066,45.14254358,10.04384767,"{'type': 'Point', 'coordinates': [10.04384767, 45.14254358]}",8,8,4,
5798,Monossido di Carbonio,mg/m³,561,Como v.Cattaneo,202,CO,Como,N,1991-02-17T00:00:00.000,5073500,505203,45.81504217,9.06697886,"{'type': 'Point', 'coordinates': [9.06697886, 45.81504217]}",2,2,3,
12695,Piombo,ng/m³,1264,Sondrio v.Paribelli,290,SO,Sondrio,N,2008-04-01T00:00:00.000,5113073,567873,46.16785664,9.87921169,"{'type': 'Point', 'coordinates': [9.87921169, 46.16785664]}",3,3,7,
10013,Particelle sospese PM2.5,µg/m³,576,Merate v. Madonna di Loreto,279,LC,Merate,N,2006-09-10T00:00:00.000,5060569,531623,45.69795956,9.40619194,"{'type': 'Point', 'coordinates': [9.40619194, 45.69795956]}",10,10,5,
10171,Ozono,µg/m³,703,Schivenoglia v. Malpasso,,MN,Schivenoglia,N,2006-11-29T00:00:00.000,4986922,663580,45.01688067,11.07609728,"{'type': 'Point', 'coordinates': [11.07609728, 45.01688067]}",9,9,4,
12619,Nikel,ng/m³,542,Meda v. Gagarin,222,MB,Meda,N,2008-04-18T00:00:00.000,5056480,512203,45.66099200,9.16022500,"{'type': 'Point', 'coordinates': [9.160225, 45.660992]}",12,12,5,
5742,Ozono,µg/m³,572,Morbegno v.Cortivacci,262,SO,Morbegno,N,2003-05-24T00:00:00.000,5108901,543736,46.13548600,9.56624000,"{'type': 'Point', 'coordinates': [9.56624, 46.135486]}",3,3,7,
6324,Ossidi di Azoto,µg/m³,531,Pioltello Limito,114,MI,Pioltello,N,1989-05-12T00:00:00.000,5036730,525583,45.48363242,9.32736196,"{'type': 'Point', 'coordinates': [9.32736196, 45.48363242]}",4,4,8,
6921,PM10 (SM2005),µg/m³,564,Erba v. Battisti,279,CO,Erba,N,2009-06-13T00:00:00.000,5072803,517232,45.80857380,9.22177920,"{'type': 'Point', 'coordinates': [9.2217792, 45.8085738]}",2,2,3,
20528,Particelle sospese PM2.5,µg/m³,708,Parona v. della Miseria,112,PV,Parona,N,2021-06-01T00:00:00.000,5014300,480733,45.28194289,8.75433614,"{'type': 'Point', 'coordinates': [8.75433614, 45.28194289]}",7,7,6,
12016,Ossidi di Azoto,µg/m³,1297,Spinadesco v.Battisti,48,CR,Spinadesco,N,2011-02-08T00:00:00.000,5000087,573153,45.15047339,9.93059842,"{'type': 'Point', 'coordinates': [9.93059842, 45.15047339]}",8,8,4,
5517,Biossido di Azoto,µg/m³,514,Rho via Buon Gesù,152,MI,Rho,N,1991-10-03T00:00:00.000,5041100,503483,45.52342919,9.04460250,"{'type': 'Point', 'coordinates': [9.0446025, 45.52342919]}",4,4,8,
10432,Biossido di Azoto,µg/m³,1264,Sondrio v.Paribelli,290,SO,Sondrio,N,2009-01-04T00:00:00.000,5113073,567873,46.16785664,9.87921169,"{'type': 'Point', 'coordinates': [9.87921169, 46.16785664]}",3,3,7,
