date,value,Rain,Wind,Temp,Humidity,value_dayb
2023-04-11,24.5,0.0,1.091,15.6554,51.2014,15.0
2023-04-13,18.8,5.6,1.7485,10.4622,77.3333,24.5
2023-04-14,10.1,0.0,1.3612,14.1293,39.1806,18.8
2023-04-15,19.5,0.0,1.2887,13.9878,47.3819,10.1
2023-04-16,17.0,0.0,1.6688,15.2113,50.8333,19.5
2023-04-17,12.2,0.0,1.3606,15.6771,42.4792,17.0
2023-04-17,12.2,0.0,1.3606,15.6771,42.4792,12.2
2023-04-18,22.1,0.0,1.1189,17.4277,41.5139,12.2
2023-04-19,24.9,0.4,1.4197,17.8056,46.1319,22.1
2023-04-20,15.3,28.6,3.0456,11.7891,90.2917,24.9
2023-04-21,14.3,1.0,1.2106,13.4632,80.9375,15.3
2023-04-22,21.7,0.0,0.703,16.1171,61.75,14.3
2023-04-23,20.3,2.4,1.0096,18.2022,51.1042,21.7
2023-04-24,10.5,1.4,1.2276,17.4572,57.3333,20.3
2023-04-25,10.0,0.2,2.139,15.1858,60.0625,10.5
2023-04-26,14.1,0.0,0.8443,16.1365,48.0903,10.0
2023-04-27,25.5,0.0,1.6098,17.1782,45.4444,14.1
2023-04-28,26.1,0.0,1.4907,18.0096,48.6806,25.5
2023-04-29,24.0,1.4,1.2271,18.0157,69.8333,26.1
2023-04-30,27.8,0.0,2.5652,18.7525,63.2517,24.0
2023-05-02,14.2,4.8,1.5096,15.8567,74.9444,27.8
2023-05-04,19.8,0.0,1.2589,20.0451,50.5139,14.2
2023-05-05,32.4,0.0,1.1017,21.2264,50.4722,19.8
2023-05-06,24.8,0.0,1.0258,22.3456,45.5833,32.4
2023-05-06,24.8,0.0,1.0258,22.3456,45.5833,24.8
2023-05-07,16.5,0.0,1.3753,21.6403,55.875,24.8
